#q1           q2            q3            q4            q5            q6            lamb1         lamb2         lamb3         lamb4         lamb5         lamb6         
-1.616501e-15 1.000000e+00 -9.523698e-15 2.854580e+00 -7.413279e-14 1.299654e+01 1.000000e-16 4.572426e-01 1.000000e-16 7.478644e-03 1.000000e-16 1.553503e-06 
-1.181514e-15 1.000000e+00 -5.105454e-15 2.580936e+00 -3.349767e-14 9.921701e+00 1.000000e-16 3.341973e-01 1.000000e-16 3.210711e-02 1.000000e-16 2.348078e-06 
-1.285252e-15 1.000000e+00 -2.891817e-15 1.761926e+00 -6.426259e-15 3.858116e+00 1.000000e-16 -5.513131e-01 1.000000e-16 1.454164e-01 1.000000e-16 4.655877e-02 
-1.569166e-15 1.000000e+00 -9.223427e-15 2.832624e+00 -7.064471e-14 1.272062e+01 1.000000e-16 4.495504e-01 1.000000e-16 8.900935e-03 1.000000e-16 6.181681e-07 
-1.044623e-15 1.000000e+00 -2.398924e-15 2.081135e+00 -5.297020e-15 5.810893e+00 1.000000e-16 -1.420875e-01 1.000000e-16 1.530280e-01 1.000000e-16 2.950662e-04 
-5.564103e-16 1.000000e+00 -1.187009e-15 1.370022e+00 -2.670769e-15 2.158220e+00 1.000000e-16 -2.376039e+00 1.000000e-16 5.225494e-01 1.000000e-16 2.230589e-01 
-5.610767e-16 1.000000e+00 -1.196964e-15 1.364953e+00 -2.693168e-15 2.135245e+00 1.000000e-16 -2.264780e+00 1.000000e-16 3.622744e-01 1.000000e-16 2.772212e-01 
-3.152290e-16 1.000000e+00 -6.789547e-16 1.283485e+00 -1.551897e-15 1.860720e+00 1.000000e-16 -3.466361e+00 1.000000e-16 9.462017e-01 1.000000e-16 2.754292e-01 
-1.187021e-16 1.000000e+00 -2.739280e-16 1.230621e+00 -6.574271e-16 1.682786e+00 1.000000e-16 -3.883393e+00 1.000000e-16 6.967150e-01 1.000000e-16 5.286091e-01 
-9.997131e-17 1.000000e+00 -2.142242e-16 1.208333e+00 -4.570117e-16 1.616036e+00 1.000000e-16 -4.599992e+00 1.000000e-16 1.150937e+00 1.000000e-16 4.782404e-01 
-3.714001e-17 1.000000e+00 -7.923201e-17 1.175638e+00 -1.782720e-16 1.515867e+00 1.000000e-16 -5.429075e+00 1.000000e-16 1.419301e+00 1.000000e-16 5.699502e-01 
-3.701469e-16 1.000000e+00 -8.636761e-16 1.339555e+00 -1.974117e-15 2.059394e+00 1.000000e-16 -3.015846e+00 1.000000e-16 9.848383e-01 1.000000e-16 1.420089e-01 
-2.317379e-16 1.000000e+00 -5.056100e-16 1.263065e+00 -1.179757e-15 1.794330e+00 1.000000e-16 -3.841954e+00 1.000000e-16 1.128411e+00 1.000000e-16 2.770656e-01 
-1.170844e-15 1.000000e+00 -2.731970e-15 1.452317e+00 -5.854221e-15 2.462422e+00 1.000000e-16 -1.664923e+00 1.000000e-16 2.734461e-01 1.000000e-16 1.855439e-01 
-4.037777e-16 1.000000e+00 -9.421481e-16 1.363908e+00 -1.884296e-15 2.149434e+00 1.000000e-16 -2.843706e+00 1.000000e-16 9.829297e-01 1.000000e-16 1.027334e-01 
-6.095757e-16 1.000000e+00 -1.371545e-15 1.381235e+00 -3.047879e-15 2.201560e+00 1.000000e-16 -2.357243e+00 1.000000e-16 5.819595e-01 1.000000e-16 1.891988e-01 
-9.279314e-16 1.000000e+00 -2.352180e-15 2.297001e+00 -7.525712e-15 7.373708e+00 1.000000e-16 1.327163e-01 1.000000e-16 7.514729e-02 1.000000e-16 9.970959e-04 
-1.714924e-15 1.000000e+00 -1.119268e-14 2.949689e+00 -9.332695e-14 1.426881e+01 1.000000e-16 4.866876e-01 1.000000e-16 2.254189e-03 1.000000e-16 3.280007e-07 
-1.385517e-15 1.000000e+00 -3.078927e-15 1.715377e+00 -6.773640e-15 3.616846e+00 1.000000e-16 -6.209092e-01 1.000000e-16 1.216591e-01 1.000000e-16 6.483798e-02 
-1.078473e-15 1.000000e+00 -2.264319e-15 2.111066e+00 -5.390959e-15 5.964536e+00 1.000000e-16 -2.866989e-02 1.000000e-16 9.626099e-02 1.000000e-16 6.831672e-03 
-9.949528e-17 1.000000e+00 -2.296045e-16 1.215243e+00 -4.898229e-16 1.637322e+00 1.000000e-16 -4.427999e+00 1.000000e-16 1.076415e+00 1.000000e-16 4.706439e-01 
-4.308481e-16 1.000000e+00 -8.616962e-16 1.378928e+00 -2.010624e-15 2.203048e+00 1.000000e-16 -2.659943e+00 1.000000e-16 8.896776e-01 1.000000e-16 1.068733e-01 
-1.290815e-15 1.000000e+00 -3.037211e-15 1.700998e+00 -6.681865e-15 3.544084e+00 1.000000e-16 -6.407162e-01 1.000000e-16 1.102003e-01 1.000000e-16 7.202757e-02 
-1.146497e-15 1.000000e+00 -2.413677e-15 1.550519e+00 -5.792825e-15 2.862879e+00 1.000000e-16 -1.180886e+00 1.000000e-16 2.048557e-01 1.000000e-16 1.217446e-01 
-1.493023e-16 1.000000e+00 -3.359302e-16 1.238065e+00 -7.465116e-16 1.708876e+00 1.000000e-16 -3.949713e+00 1.000000e-16 8.970801e-01 1.000000e-16 4.346768e-01 
-1.264816e-15 1.000000e+00 -5.406679e-15 2.594866e+00 -3.515408e-14 1.006131e+01 1.000000e-16 3.420878e-01 1.000000e-16 3.042067e-02 1.000000e-16 1.228355e-06 
-6.534864e-17 1.000000e+00 -1.568367e-16 1.198441e+00 -3.398129e-16 1.584897e+00 1.000000e-16 -4.769666e+00 1.000000e-16 1.153951e+00 1.000000e-16 5.265920e-01 
-1.062122e-15 1.000000e+00 -2.514903e-15 2.035960e+00 -5.456391e-15 5.514676e+00 1.000000e-16 -2.164667e-01 1.000000e-16 1.759206e-01 1.000000e-16 7.975302e-06 
-1.085777e-15 1.000000e+00 -3.165502e-15 2.387323e+00 -1.318648e-14 8.136650e+00 1.000000e-16 2.000110e-01 1.000000e-16 6.281340e-02 1.000000e-16 3.164090e-06 
-1.753949e-15 1.000000e+00 -1.122958e-14 2.953562e+00 -9.446864e-14 1.432343e+01 1.000000e-16 4.877730e-01 1.000000e-16 2.066487e-03 1.000000e-16 4.644073e-07 
-9.825435e-16 1.000000e+00 -2.605260e-15 2.289994e+00 -8.332017e-15 7.337027e+00 1.000000e-16 1.118830e-01 1.000000e-16 8.465885e-02 1.000000e-16 1.728734e-05 
-1.328266e-15 1.000000e+00 -6.797651e-15 2.684471e+00 -4.786268e-14 1.099352e+01 1.000000e-16 3.894922e-01 1.000000e-16 2.030064e-02 1.000000e-16 4.593075e-05 
-5.723177e-16 1.000000e+00 -1.335408e-15 1.458505e+00 -2.670816e-15 2.497540e+00 1.000000e-16 -1.846671e+00 1.000000e-16 4.908900e-01 1.000000e-16 1.220854e-01 
-1.392662e-15 1.000000e+00 -3.094804e-15 1.724925e+00 -6.808569e-15 3.668780e+00 1.000000e-16 -6.277590e-01 1.000000e-16 1.455842e-01 1.000000e-16 5.683228e-02 
-1.357392e-15 1.000000e+00 -2.986263e-15 1.619920e+00 -6.515483e-15 3.166491e+00 1.000000e-16 -9.051413e-01 1.000000e-16 1.567771e-01 1.000000e-16 9.444826e-02 
-1.164321e-15 1.000000e+00 -2.794371e-15 1.532106e+00 -5.588743e-15 2.785481e+00 1.000000e-16 -1.266236e+00 1.000000e-16 2.217494e-01 1.000000e-16 1.300492e-01 
-9.698410e-16 1.000000e+00 -2.272761e-15 2.122228e+00 -4.790706e-15 6.093288e+00 1.000000e-16 -8.525277e-02 1.000000e-16 1.376630e-01 1.000000e-16 5.188440e-05 
-1.054755e-15 1.000000e+00 -3.116792e-15 2.406968e+00 -1.440842e-14 8.305337e+00 1.000000e-16 2.160278e-01 1.000000e-16 5.894826e-02 1.000000e-16 7.989695e-06 
-4.809476e-16 1.000000e+00 -1.122211e-15 1.402661e+00 -2.244422e-15 2.285540e+00 1.000000e-16 -2.304771e+00 1.000000e-16 6.644136e-01 1.000000e-16 1.372216e-01 
-2.113617e-16 1.000000e+00 -5.072681e-16 1.259298e+00 -1.099081e-15 1.779524e+00 1.000000e-16 -3.747429e+00 1.000000e-16 9.692029e-01 1.000000e-16 3.383672e-01 
-4.621118e-16 1.000000e+00 -1.232298e-15 1.399614e+00 -2.464596e-15 2.280724e+00 1.000000e-16 -2.493683e+00 1.000000e-16 8.440645e-01 1.000000e-16 9.221542e-02 
-1.932040e-16 1.000000e+00 -4.250489e-16 1.249646e+00 -9.273793e-16 1.749980e+00 1.000000e-16 -4.027253e+00 1.000000e-16 1.161247e+00 1.000000e-16 3.095189e-01 
-9.604373e-16 1.000000e+00 -2.116631e-15 2.027703e+00 -5.033725e-15 5.460811e+00 1.000000e-16 -2.294631e-01 1.000000e-16 1.795135e-01 1.000000e-16 8.929617e-05 
-1.322045e-15 1.000000e+00 -2.937877e-15 1.674733e+00 -6.463330e-15 3.418607e+00 1.000000e-16 -7.172245e-01 1.000000e-16 1.213241e-01 1.000000e-16 7.906276e-02 
-1.152939e-15 1.000000e+00 -2.660629e-15 1.867393e+00 -6.030760e-15 4.422199e+00 1.000000e-16 -3.239286e-01 1.000000e-16 1.088773e-01 1.000000e-16 3.145458e-02 
-2.381135e-17 1.000000e+00 -5.159126e-17 1.160084e+00 -1.190568e-16 1.469221e+00 1.000000e-16 -5.928790e+00 1.000000e-16 1.595176e+00 1.000000e-16 6.188572e-01 
-1.719726e-15 1.000000e+00 -1.107505e-14 2.951042e+00 -9.380074e-14 1.428785e+01 1.000000e-16 4.870696e-01 1.000000e-16 2.187772e-03 1.000000e-16 4.185068e-07 
-1.046005e-15 1.000000e+00 -2.401736e-15 2.082505e+00 -5.300134e-15 5.818384e+00 1.000000e-16 -1.375789e-01 1.000000e-16 1.508703e-01 1.000000e-16 5.272047e-04 
-1.307616e-15 1.000000e+00 -6.117814e-15 2.641108e+00 -4.185292e-14 1.053628e+01 1.000000e-16 3.669287e-01 1.000000e-16 2.518661e-02 1.000000e-16 9.538066e-07 
-1.567882e-15 1.000000e+00 -9.690728e-15 2.863831e+00 -7.627841e-14 1.311504e+01 1.000000e-16 4.603343e-01 1.000000e-16 6.922081e-03 1.000000e-16 4.669416e-07 
-1.105716e-16 1.000000e+00 -2.527351e-16 1.221461e+00 -5.686540e-16 1.658267e+00 1.000000e-16 -4.428366e+00 1.000000e-16 1.188624e+00 1.000000e-16 4.069812e-01 
-2.298459e-16 1.000000e+00 -4.596918e-16 1.258576e+00 -1.086544e-15 1.777729e+00 1.000000e-16 -3.794729e+00 1.000000e-16 1.014448e+00 1.000000e-16 3.264857e-01 
-4.340717e-16 1.000000e+00 -9.301536e-16 1.318702e+00 -2.108348e-15 1.972653e+00 1.000000e-16 -2.685184e+00 1.000000e-16 4.294326e-01 1.000000e-16 3.468420e-01 
-3.208636e-18 1.000000e+00 -7.404546e-18 1.121454e+00 -1.579636e-17 1.354441e+00 1.000000e-16 -7.302156e+00 1.000000e-16 1.824972e+00 1.000000e-16 9.127782e-01 
-2.379167e-16 1.000000e+00 -5.623485e-16 1.266389e+00 -1.211212e-15 1.804869e+00 1.000000e-16 -3.765995e+00 1.000000e-16 1.083497e+00 1.000000e-16 2.810429e-01 
0.000000e+00 1.000000e+00 0.000000e+00 1.124920e+00 0.000000e+00 1.363639e+00 1.000000e-16 -6.887214e+00 1.000000e-16 1.478750e+00 1.000000e-16 9.925068e-01 
-2.553525e-18 1.000000e+00 -5.107049e-18 1.118487e+00 -1.207121e-17 1.345630e+00 1.000000e-16 -7.396671e+00 1.000000e-16 1.797814e+00 1.000000e-16 9.598994e-01 
-7.567468e-16 1.000000e+00 -1.513494e-15 1.477903e+00 -3.783734e-15 2.593688e+00 1.000000e-16 -2.039824e+00 1.000000e-16 7.687335e-01 1.000000e-16 3.439082e-02 
-8.863852e-17 1.000000e+00 -2.068232e-16 1.210494e+00 -4.431926e-16 1.622038e+00 1.000000e-16 -4.483071e+00 1.000000e-16 1.052732e+00 1.000000e-16 5.002795e-01 
-8.010158e-18 1.000000e+00 -1.747671e-17 1.138621e+00 -3.786620e-17 1.404226e+00 1.000000e-16 -6.441322e+00 1.000000e-16 1.499205e+00 1.000000e-16 8.372991e-01 
-1.150778e-15 1.000000e+00 -4.511171e-15 2.533887e+00 -2.741267e-14 9.462045e+00 1.000000e-16 3.059036e-01 1.000000e-16 3.828458e-02 1.000000e-16 2.776652e-06 
-1.827958e-17 1.000000e+00 -4.062130e-17 1.158489e+00 -8.936686e-17 1.463044e+00 1.000000e-16 -5.745287e+00 1.000000e-16 1.324161e+00 1.000000e-16 7.238874e-01 
-1.132073e-16 1.000000e+00 -2.415090e-16 1.217200e+00 -5.433952e-16 1.645303e+00 1.000000e-16 -4.555250e+00 1.000000e-16 1.263505e+00 1.000000e-16 4.010150e-01 
-6.507406e-18 1.000000e+00 -1.431629e-17 1.133627e+00 -2.863259e-17 1.389880e+00 1.000000e-16 -6.714851e+00 1.000000e-16 1.638220e+00 1.000000e-16 8.395421e-01 
-3.182310e-17 1.000000e+00 -7.343791e-17 1.173387e+00 -1.566675e-16 1.508417e+00 1.000000e-16 -5.403299e+00 1.000000e-16 1.329747e+00 1.000000e-16 6.149231e-01 
-1.831222e-16 1.000000e+00 -4.028687e-16 1.241757e+00 -8.789863e-16 1.724115e+00 1.000000e-16 -4.138329e+00 1.000000e-16 1.175734e+00 1.000000e-16 3.322239e-01 
-1.061934e-15 1.000000e+00 -2.513746e-15 2.034161e+00 -5.447626e-15 5.500004e+00 1.000000e-16 -2.144427e-01 1.000000e-16 1.735121e-01 1.000000e-16 5.175417e-04 
-1.084264e-15 1.000000e+00 -2.529948e-15 1.892765e+00 -5.782739e-15 4.568163e+00 1.000000e-16 -2.869090e-01 1.000000e-16 1.089960e-01 1.000000e-16 2.731232e-02 
-5.738618e-16 1.000000e+00 -1.530298e-15 1.490242e+00 -3.060596e-15 2.651496e+00 1.000000e-16 -2.064294e+00 1.000000e-16 8.398421e-01 1.000000e-16 7.688467e-03 
-1.268260e-15 1.000000e+00 -2.853585e-15 1.734653e+00 -6.341301e-15 3.706011e+00 1.000000e-16 -5.310985e-01 1.000000e-16 8.110230e-02 1.000000e-16 6.743369e-02 
-1.127450e-15 1.000000e+00 -2.373578e-15 1.537154e+00 -5.696587e-15 2.802961e+00 1.000000e-16 -1.190514e+00 1.000000e-16 1.663215e-01 1.000000e-16 1.402315e-01 
-1.246559e-15 1.000000e+00 -2.933079e-15 1.678131e+00 -6.452774e-15 3.438915e+00 1.000000e-16 -7.404144e-01 1.000000e-16 1.493515e-01 1.000000e-16 7.164581e-02 
-1.239993e-15 1.000000e+00 -2.771750e-15 1.668530e+00 -6.418789e-15 3.388528e+00 1.000000e-16 -7.290382e-01 1.000000e-16 1.178078e-01 1.000000e-16 8.222908e-02 
-4.119365e-16 1.000000e+00 -8.827210e-16 1.316651e+00 -1.883138e-15 1.971119e+00 1.000000e-16 -2.949679e+00 1.000000e-16 7.088770e-01 1.000000e-16 2.676975e-01 
-4.747278e-16 1.000000e+00 -1.076050e-15 1.329380e+00 -2.278694e-15 2.013251e+00 1.000000e-16 -2.731744e+00 1.000000e-16 5.831864e-01 1.000000e-16 2.783543e-01 
-1.351508e-15 1.000000e+00 -2.987543e-15 1.655968e+00 -6.828671e-15 3.335041e+00 1.000000e-16 -8.131596e-01 1.000000e-16 1.638889e-01 1.000000e-16 7.699755e-02 
-2.722731e-16 1.000000e+00 -6.435547e-16 1.280485e+00 -1.386118e-15 1.846873e+00 1.000000e-16 -3.297394e+00 1.000000e-16 7.166319e-01 1.000000e-16 3.541340e-01 
