#q1           q2            q3            q4            q5            q6            lamb1         lamb2         lamb3         lamb4         lamb5         lamb6         
-1.781294e-15 1.000000e+00 -1.214342e-14 3.001946e+00 -1.086538e-13 1.502869e+01 1.000000e-16 5.005183e-01 1.000000e-16 -9.181002e-05 1.000000e-16 7.302548e-07 
-1.777682e-15 1.000000e+00 -1.172640e-14 2.982001e+00 -1.024629e-13 1.473281e+01 1.000000e-16 4.954304e-01 1.000000e-16 7.619102e-04 1.000000e-16 5.783593e-07 
-1.011290e-15 1.000000e+00 -2.347889e-15 2.260085e+00 -7.221967e-15 7.103496e+00 1.000000e-16 8.112968e-02 1.000000e-16 9.262912e-02 1.000000e-16 8.025102e-06 
-1.616278e-15 1.000000e+00 -9.521669e-15 2.854002e+00 -7.436121e-14 1.298947e+01 1.000000e-16 4.570100e-01 1.000000e-16 7.528025e-03 1.000000e-16 5.135855e-07 
-1.709423e-15 1.000000e+00 -1.110684e-14 2.947319e+00 -9.267760e-14 1.423536e+01 1.000000e-16 4.860304e-01 1.000000e-16 2.366062e-03 1.000000e-16 5.279745e-07 
-1.218513e-15 1.000000e+00 -6.410426e-15 2.745413e+00 -4.667040e-14 1.133638e+01 1.000000e-16 4.949512e-01 1.000000e-16 -1.898203e-02 1.000000e-16 3.213132e-03 
-1.692982e-15 1.000000e+00 -1.113317e-14 2.953793e+00 -9.450194e-14 1.432661e+01 1.000000e-16 4.878440e-01 1.000000e-16 2.053074e-03 1.000000e-16 6.342374e-07 
-2.006114e-15 1.000000e+00 -1.510872e-14 3.134276e+00 -1.535910e-13 1.702270e+01 1.000000e-16 5.359113e-01 1.000000e-16 -6.741551e-03 1.000000e-16 1.243138e-04 
-1.047965e-15 1.000000e+00 -2.239187e-15 2.161036e+00 -5.441178e-15 6.350475e+00 1.000000e-16 -1.527393e-02 1.000000e-16 1.121081e-01 1.000000e-16 1.613255e-03 
-1.132033e-15 1.000000e+00 -2.438288e-15 1.897370e+00 -5.225460e-15 4.660587e+00 1.000000e-16 -4.777220e-01 1.000000e-16 2.547469e-01 1.000000e-16 7.884254e-04 
-1.046518e-15 1.000000e+00 -2.476048e-15 2.013555e+00 -4.974601e-15 5.369510e+00 1.000000e-16 -2.525472e-01 1.000000e-16 1.860399e-01 1.000000e-16 2.075904e-04 
-9.826260e-16 1.000000e+00 -2.169528e-15 2.061858e+00 -5.193114e-15 5.682942e+00 1.000000e-16 -1.725041e-01 1.000000e-16 1.621473e-01 1.000000e-16 2.261075e-04 
-1.008603e-15 1.000000e+00 -2.300934e-15 2.183858e+00 -5.874004e-15 6.530568e+00 1.000000e-16 -4.210736e-03 1.000000e-16 1.149367e-01 1.000000e-16 1.122875e-04 
-1.046005e-15 1.000000e+00 -2.401736e-15 2.082505e+00 -5.300134e-15 5.818384e+00 1.000000e-16 -1.375789e-01 1.000000e-16 1.508703e-01 1.000000e-16 5.272047e-04 
-1.062074e-15 1.000000e+00 -2.447369e-15 2.108056e+00 -5.476722e-15 5.994841e+00 1.000000e-16 -1.043112e-01 1.000000e-16 1.427760e-01 1.000000e-16 1.307513e-04 
-1.074884e-15 1.000000e+00 -2.280805e-15 2.126778e+00 -5.630300e-15 6.122930e+00 1.000000e-16 -7.653417e-02 1.000000e-16 1.343780e-01 1.000000e-16 2.694717e-04 
-1.030507e-15 1.000000e+00 -2.297377e-15 2.136602e+00 -5.277127e-15 6.188665e+00 1.000000e-16 -5.972989e-02 1.000000e-16 1.285080e-01 1.000000e-16 5.703418e-04 
-1.155103e-15 1.000000e+00 -2.488089e-15 1.922073e+00 -5.688537e-15 4.806560e+00 1.000000e-16 -4.266594e-01 1.000000e-16 2.394679e-01 1.000000e-16 4.237123e-04 
-1.025412e-15 1.000000e+00 -2.349562e-15 2.051766e+00 -5.141716e-15 5.615041e+00 1.000000e-16 -1.863002e-01 1.000000e-16 1.654100e-01 1.000000e-16 4.473106e-04 
-1.027839e-15 1.000000e+00 -2.243786e-15 1.987289e+00 -5.245909e-15 5.202637e+00 1.000000e-16 -2.970248e-01 1.000000e-16 1.986453e-01 1.000000e-16 4.801099e-04 
-1.057655e-15 1.000000e+00 -2.433565e-15 2.100559e+00 -5.414380e-15 5.941361e+00 1.000000e-16 -1.121308e-01 1.000000e-16 1.439882e-01 1.000000e-16 4.050241e-04 
-1.004040e-15 1.000000e+00 -2.284624e-15 2.176329e+00 -5.780366e-15 6.475185e+00 1.000000e-16 -1.269333e-02 1.000000e-16 1.169863e-01 1.000000e-16 1.797525e-04 
-1.147572e-15 1.000000e+00 -2.471819e-15 1.913979e+00 -5.650930e-15 4.758484e+00 1.000000e-16 -4.432858e-01 1.000000e-16 2.445069e-01 1.000000e-16 5.130467e-04 
-1.145213e-15 1.000000e+00 -2.600743e-15 2.082775e+00 -5.305737e-15 5.821603e+00 1.000000e-16 -1.391825e-01 1.000000e-16 1.520360e-01 1.000000e-16 3.360391e-04 
-9.891766e-16 1.000000e+00 -2.335340e-15 2.153817e+00 -5.491668e-15 6.315261e+00 1.000000e-16 -4.295857e-02 1.000000e-16 1.258573e-01 1.000000e-16 4.284353e-05 
-9.588415e-16 1.000000e+00 -2.231797e-15 2.099194e+00 -4.969534e-15 5.921365e+00 1.000000e-16 -9.936121e-02 1.000000e-16 1.352109e-01 1.000000e-16 1.784122e-03 
-1.048199e-15 1.000000e+00 -2.479882e-15 2.014527e+00 -5.362010e-15 5.373233e+00 1.000000e-16 -2.464577e-01 1.000000e-16 1.825930e-01 1.000000e-16 6.687975e-04 
-1.096890e-15 1.000000e+00 -2.531300e-15 1.862061e+00 -5.737755e-15 4.458338e+00 1.000000e-16 -5.597345e-01 1.000000e-16 2.813583e-01 1.000000e-16 8.913798e-04 
-1.014351e-15 1.000000e+00 -2.398321e-15 1.970065e+00 -4.803653e-15 5.097240e+00 1.000000e-16 -3.319469e-01 1.000000e-16 2.104000e-01 1.000000e-16 1.925118e-04 
-1.061723e-15 1.000000e+00 -2.320516e-15 2.034389e+00 -5.448744e-15 5.502505e+00 1.000000e-16 -2.157818e-01 1.000000e-16 1.745312e-01 1.000000e-16 3.424598e-04 
-1.060289e-15 1.000000e+00 -2.239360e-15 2.104493e+00 -5.441339e-15 5.968059e+00 1.000000e-16 -1.062594e-01 1.000000e-16 1.422477e-01 1.000000e-16 4.211824e-04 
-1.022023e-15 1.000000e+00 -2.230948e-15 1.980437e+00 -5.214632e-15 5.161651e+00 1.000000e-16 -3.129604e-01 1.000000e-16 2.047513e-01 1.000000e-16 1.269844e-04 
-9.574302e-16 1.000000e+00 -2.029688e-15 2.098717e+00 -4.585448e-15 5.923189e+00 1.000000e-16 -1.070897e-01 1.000000e-16 1.398707e-01 1.000000e-16 1.125050e-03 
-1.094808e-15 1.000000e+00 -2.445063e-15 2.156888e+00 -5.514493e-15 6.336073e+00 1.000000e-16 -3.779500e-02 1.000000e-16 1.240361e-01 1.000000e-16 1.436813e-04 
-1.009251e-15 1.000000e+00 -2.202634e-15 1.963174e+00 -4.777860e-15 5.054641e+00 1.000000e-16 -3.445769e-01 1.000000e-16 2.140889e-01 1.000000e-16 2.630863e-04 
-1.034820e-15 1.000000e+00 -2.447496e-15 1.996841e+00 -5.285468e-15 5.262605e+00 1.000000e-16 -2.799831e-01 1.000000e-16 1.935699e-01 1.000000e-16 4.387196e-04 
-9.938027e-16 1.000000e+00 -2.247341e-15 2.161053e+00 -5.569556e-15 6.366324e+00 1.000000e-16 -3.302531e-02 1.000000e-16 1.229134e-01 1.000000e-16 9.322566e-05 
-1.045313e-15 1.000000e+00 -2.221898e-15 2.154004e+00 -5.303800e-15 6.290249e+00 1.000000e-16 -1.183976e-02 1.000000e-16 1.068740e-01 1.000000e-16 2.725148e-03 
-1.005111e-15 1.000000e+00 -2.283552e-15 2.178264e+00 -5.751685e-15 6.486575e+00 1.000000e-16 -7.547637e-03 1.000000e-16 1.146845e-01 1.000000e-16 4.070777e-04 
-1.021685e-15 1.000000e+00 -2.274043e-15 2.123755e+00 -5.190986e-15 6.102794e+00 1.000000e-16 -8.178050e-02 1.000000e-16 1.362222e-01 1.000000e-16 1.734429e-04 
-1.056122e-15 1.000000e+00 -2.226415e-15 2.096590e+00 -5.375108e-15 5.910226e+00 1.000000e-16 -1.122196e-01 1.000000e-16 1.420375e-01 1.000000e-16 9.379715e-04 
-1.104163e-15 1.000000e+00 -2.393078e-15 1.967132e+00 -5.528616e-15 5.079142e+00 1.000000e-16 -3.374235e-01 1.000000e-16 2.120474e-01 1.000000e-16 2.082422e-04 
-1.047117e-15 1.000000e+00 -2.207130e-15 2.085437e+00 -5.326450e-15 5.841141e+00 1.000000e-16 -1.374871e-01 1.000000e-16 1.523455e-01 1.000000e-16 1.183082e-04 
-1.097849e-15 1.000000e+00 -2.406959e-15 2.085409e+00 -5.316394e-15 5.837495e+00 1.000000e-16 -1.326462e-01 1.000000e-16 1.492469e-01 1.000000e-16 5.804242e-04 
-1.024509e-15 1.000000e+00 -2.347818e-15 2.051633e+00 -5.140623e-15 5.616589e+00 1.000000e-16 -1.903233e-01 1.000000e-16 1.679526e-01 1.000000e-16 6.939558e-05 
-1.066393e-15 1.000000e+00 -2.488437e-15 1.922797e+00 -5.334031e-15 4.811746e+00 1.000000e-16 -4.272952e-01 1.000000e-16 2.405165e-01 1.000000e-16 1.639525e-04 
-1.006351e-15 1.000000e+00 -2.394112e-15 2.180211e+00 -5.785021e-15 6.501231e+00 1.000000e-16 -5.728391e-03 1.000000e-16 1.143825e-01 1.000000e-16 3.574959e-04 
-1.114112e-15 1.000000e+00 -2.414576e-15 1.975649e+00 -5.206420e-15 5.125554e+00 1.000000e-16 -3.088219e-01 1.000000e-16 1.985311e-01 1.000000e-16 1.584625e-03 
-1.062231e-15 1.000000e+00 -2.322085e-15 2.036003e+00 -5.070437e-15 5.514725e+00 1.000000e-16 -2.160197e-01 1.000000e-16 1.756523e-01 1.000000e-16 4.608490e-05 
-1.025222e-15 1.000000e+00 -2.284386e-15 2.129209e+00 -5.234094e-15 6.140384e+00 1.000000e-16 -7.384317e-02 1.000000e-16 1.338381e-01 1.000000e-16 2.119449e-04 
-1.086517e-15 1.000000e+00 -2.380058e-15 2.070405e+00 -5.238839e-15 5.740274e+00 1.000000e-16 -1.601054e-01 1.000000e-16 1.588402e-01 1.000000e-16 1.381204e-04 
-1.214575e-15 1.000000e+00 -2.732794e-15 1.760981e+00 -5.769233e-15 3.910927e+00 1.000000e-16 -8.385364e-01 1.000000e-16 3.769373e-01 1.000000e-16 9.356322e-04 
-1.050275e-15 1.000000e+00 -2.265152e-15 2.167505e+00 -5.680157e-15 6.413040e+00 1.000000e-16 -2.532330e-02 1.000000e-16 1.209603e-01 1.000000e-16 4.986555e-05 
nan nan nan nan nan nan 1.000000e-16 -5.765095e-01 1.000000e-16 -4.444872e-02 1.000000e-16 -2.113989e-04 
-1.051697e-15 1.000000e+00 -2.365132e-15 2.169203e+00 -5.191252e-15 6.419085e+00 1.000000e-16 -1.649927e-02 1.000000e-16 1.163400e-01 1.000000e-16 6.111477e-04 
-1.095868e-15 1.000000e+00 -2.374849e-15 1.955886e+00 -5.484408e-15 5.008251e+00 1.000000e-16 -3.546912e-01 1.000000e-16 2.156710e-01 1.000000e-16 7.344872e-04 
-1.019944e-15 1.000000e+00 -2.411613e-15 1.976227e+00 -4.830860e-15 5.133112e+00 1.000000e-16 -3.159007e-01 1.000000e-16 2.037989e-01 1.000000e-16 6.750266e-04 
-1.051661e-15 1.000000e+00 -2.218425e-15 2.092245e+00 -5.367487e-15 5.886938e+00 1.000000e-16 -1.270885e-01 1.000000e-16 1.492455e-01 1.000000e-16 1.456482e-04 
-1.054478e-15 1.000000e+00 -2.112078e-15 2.023456e+00 -4.634494e-15 5.430653e+00 1.000000e-16 -2.317640e-01 1.000000e-16 1.784247e-01 1.000000e-16 5.950755e-04 
-1.048924e-15 1.000000e+00 -2.291196e-15 2.016540e+00 -5.368407e-15 5.387896e+00 1.000000e-16 -2.462221e-01 1.000000e-16 1.837123e-01 1.000000e-16 3.276319e-04 
-1.168149e-15 1.000000e+00 -2.503186e-15 1.850308e+00 -5.673971e-15 4.392481e+00 1.000000e-16 -5.891518e-01 1.000000e-16 2.912919e-01 1.000000e-16 8.493256e-04 
-1.083438e-15 1.000000e+00 -2.409150e-15 2.140201e+00 -5.755113e-15 6.218391e+00 1.000000e-16 -6.024144e-02 1.000000e-16 1.304475e-01 1.000000e-16 1.004491e-04 
